ID	Name	Desc
LL0000000105	abi3a	ABI family, member 3a
LL0000000106	abi3b	ABI family, member 3b
LL0000000107	abi3bpa	ABI family, member 3 (NESH) binding protein a
LL0000000108	abi3bpb	ABI family, member 3 (NESH) binding protein b
LL0000000109	abl1	c-abl oncogene 1, non-receptor tyrosine kinase
LL0000000110	abl2	c-abl oncogene 2, non-receptor tyrosine kinase
LL0000000111	ablim1a	actin binding LIM protein 1a
LL0000000112	ablim1b	actin binding LIM protein 1b
LL0000000113	ablim2	actin binding LIM protein family, member 2
LL0000000114	ablim3	actin binding LIM protein family, member 3
LL0000000115	abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase%3B transferase B, alpha 1-3-galactosyltransferase)
LL0000000116	abr	ABR activator of RhoGEF and GTPase
LL0000000117	abraa	actin binding Rho activating protein a
LL0000000118	abrab	actin binding Rho activating protein b
LL0000000119	abracl	ABRA C-terminal like
LL0000000120	abraxas1	abraxas 1, BRCA1 A complex subunit
LL0000000121	abraxas2	abraxas 2, BRISC complex subunit
LL0000000122	abt1	activator of basal transcription 1
LL0000000123	abtb1	ankyrin repeat and BTB (POZ) domain containing 1
LL0000000124	abtb2a	ankyrin repeat and BTB (POZ) domain containing 2a
LL0000000125	abtb2b	ankyrin repeat and BTB (POZ) domain containing 2b
LL0000000126	acaa1	acetyl-CoA acyltransferase 1
LL0000000127	acaa2	acetyl-CoA acyltransferase 2
LL0000000128	acaca	acetyl-CoA carboxylase alpha
LL0000000129	acacb	acetyl-CoA carboxylase beta
LL0000000130	acad11	acyl-CoA dehydrogenase family, member 11
LL0000000131	acad8	acyl-CoA dehydrogenase family, member 8
LL0000000132	acad9	acyl-CoA dehydrogenase family, member 9
LL0000000133	acadl	acyl-CoA dehydrogenase long chain
LL0000000134	acadm	acyl-CoA dehydrogenase medium chain
LL0000000135	acads	acyl-CoA dehydrogenase short chain
LL0000000136	acadsb	acyl-CoA dehydrogenase short/branched chain
LL0000000137	acadvl	acyl-CoA dehydrogenase very long chain
LL0000000138	acana	aggrecan a
LL0000000139	acanb	aggrecan b
LL0000000140	acap1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
LL0000000141	acap2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
LL0000000142	acap3a	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3a
LL0000000143	acap3b	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3b
LL0000000144	acat1	acetyl-CoA acetyltransferase 1
LL0000000145	acat2	acetyl-CoA acetyltransferase 2
LL0000000146	acbd3	acyl-Coenzyme A binding domain containing 3
LL0000000147	acbd4	acyl-CoA binding domain containing 4
LL0000000148	acbd5a	acyl-CoA binding domain containing 5a
LL0000000149	acbd5b	acyl-CoA binding domain containing 5b
LL0000000150	acbd6	acyl-CoA binding domain containing 6
LL0000000151	acbd7	acyl-CoA binding domain containing 7
LL0000000152	accs	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
LL0000000153	acd	ACD shelterin complex subunit and telomerase recruitment factor
LL0000000154	ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
LL0000000155	ace2	angiotensin I converting enzyme 2
LL0000000156	acer1	alkaline ceramidase 1
LL0000000157	acer2	alkaline ceramidase 2
LL0000000158	acer3	alkaline ceramidase 3
LL0000000159	ache	acetylcholinesterase
LL0000000160	acin1a	apoptotic chromatin condensation inducer 1a
LL0000000161	acin1b	apoptotic chromatin condensation inducer 1b
LL0000000162	ACKR2	atypical chemokine receptor 2-like [Source:NCBI gene;Acc:101887081]
LL0000000163	ackr3a	atypical chemokine receptor 3a
LL0000000164	ackr3b	atypical chemokine receptor 3b
LL0000000165	ackr4a	atypical chemokine receptor 4a
LL0000000166	ackr4b	atypical chemokine receptor 4b
LL0000000167	aclya	ATP citrate lyase a
LL0000000168	aclyb	ATP citrate lyase b
LL0000000169	acmsd	aminocarboxymuconate semialdehyde decarboxylase
LL0000000170	aco1	aconitase 1, soluble
LL0000000171	aco2	aconitase 2, mitochondrial
LL0000000172	acod1	aconitate decarboxylase 1
LL0000000173	acot11a	acyl-CoA thioesterase 11a
LL0000000174	acot11b	acyl-CoA thioesterase 11b
LL0000000175	ACOT12	acyl-CoA thioesterase 12 [Source:NCBI gene;Acc:100536873]
LL0000000176	acot13	acyl-CoA thioesterase 13
LL0000000177	acot14	acyl-CoA thioesterase 14
LL0000000178	acot15	acyl-CoA thioesterase 15
LL0000000179	acot16	acyl-CoA thioesterase 16
LL0000000180	acot17	acyl-CoA thioesterase 17
LL0000000181	acot18	acyl-CoA thioesterase 18
LL0000000182	acot19	acyl-CoA thioesterase 19
LL0000000183	acot20	acyl-CoA thioesterase 20
LL0000000184	acot21	acyl-CoA thioesterase 21
LL0000000185	acot22	acyl-CoA thioesterase 22
LL0000000186	acot7	acyl-CoA thioesterase 7
LL0000000187	acot8	acyl-CoA thioesterase 8
LL0000000188	acot9.1	acyl-CoA thioesterase 9, tandem duplicate 1
LL0000000189	acot9.2	acyl-CoA thioesterase 9, tandem duplicate 2
LL0000000190	acox1	acyl-CoA oxidase 1, palmitoyl
LL0000000191	acox3	acyl-CoA oxidase 3, pristanoyl
LL0000000192	acoxl	acyl-CoA oxidase-like
LL0000000193	acp1	acid phosphatase 1
LL0000000194	acp2	acid phosphatase 2, lysosomal
LL0000000195	acp5a	acid phosphatase 5a, tartrate resistant
LL0000000196	acp5b	acid phosphatase 5b, tartrate resistant
LL0000000197	acp6	acid phosphatase 6, lysophosphatidic
LL0000000198	acp7	acid phosphatase 7, tartrate resistant (putative)
LL0000000199	acsbg1	acyl-CoA synthetase bubblegum family member 1
LL0000000200	acsbg2	acyl-CoA synthetase bubblegum family member 2
LL0000000201	acsf2	acyl-CoA synthetase family member 2
LL0000000202	ACSF3	acyl-CoA synthetase family member 3 [Source:NCBI gene;Acc:562292]
LL0000000203	acsl1a	acyl-CoA synthetase long chain family member 1a
LL0000000204	acsl1b	acyl-CoA synthetase long chain family member 1b
LL0000000205	acsl2	acyl-CoA synthetase long chain family member 2
LL0000000206	acsl3a	acyl-CoA synthetase long chain family member 3a
LL0000000207	acsl3b	acyl-CoA synthetase long chain family member 3b
LL0000000208	acsl4a	acyl-CoA synthetase long chain family member 4a
LL0000000209	acsl4b	acyl-CoA synthetase long chain family member 4b
LL0000000210	acsl5	acyl-CoA synthetase long chain family member 5
LL0000000211	acsm3	acyl-CoA synthetase medium chain family member 3
LL0000000212	acss1	acyl-CoA synthetase short chain family member 1
LL0000000213	acss2	acyl-CoA synthetase short chain family member 2
LL0000000214	acss2l	acyl-CoA synthetase short chain family member 2 like
LL0000000215	acss3	acyl-CoA synthetase short chain family member 3
LL0000000216	acta1a	actin alpha 1, skeletal muscle a
LL0000000217	acta1b	actin alpha 1, skeletal muscle b
LL0000000218	acta2	actin alpha 2, smooth muscle
LL0000000219	actb1	actin, beta 1
LL0000000220	actb2	actin, beta 2
LL0000000222	actc1b	actin alpha cardiac muscle 1b
LL0000000223	actc1c	actin alpha cardiac muscle 1c
LL0000000224	actl6a	actin-like 6A
LL0000000225	actl6b	actin-like 6B
LL0000000226	actn1	actinin, alpha 1
LL0000000227	actn2a	actinin, alpha 2a
LL0000000228	actn2b	actinin, alpha 2b
LL0000000229	actn3a	actinin alpha 3a
LL0000000230	actn3b	actinin alpha 3b
LL0000000231	actn4	actinin, alpha 4
LL0000000232	actr1	actin related protein 1, centractin
LL0000000233	actr10	actin related protein 10
LL0000000234	actr2a	actin related protein 2a
LL0000000235	actr2b	actin related protein 2b
LL0000000236	actr3	actin related protein 3
LL0000000237	actr3b	actin related protein 3B
LL0000000238	actr5	actin related protein 5
LL0000000239	actr6	actin related protein 6
LL0000000240	actr8	actin related protein 8
LL0000000241	acvr1ba	activin A receptor type 1Ba
LL0000000242	acvr1bb	activin A receptor type 1Bb
LL0000000243	ACVR1C	activin A receptor type 1C [Source:NCBI gene;Acc:100331105]
LL0000000244	acvr1l	activin A receptor, type 1 like
LL0000000245	acvr2aa	activin A receptor type 2Aa
LL0000000246	acvr2ab	activin A receptor type 2Ab
LL0000000247	acvr2ba	activin A receptor type 2Ba
LL0000000248	acvr2bb	activin A receptor type 2Bb
LL0000000249	acvrl1	activin A receptor like type 1
LL0000000250	acy1	aminoacylase 1
LL0000000251	acy3.1	aspartoacylase (aminocyclase) 3, tandem duplicate 1
LL0000000252	acy3.2	aspartoacylase (aminocyclase) 3, tandem duplicate 2
LL0000000253	acyp1	acylphosphatase 1, erythrocyte (common) type
LL0000000254	acyp2	acylphosphatase 2, muscle type
LL0000000255	ada	adenosine deaminase
LL0000000256	ada2a	adenosine deaminase 2a
LL0000000257	ada2b	adenosine deaminase 2b
LL0000000258	adad1	adenosine deaminase domain containing 1 (testis-specific)
LL0000000259	adad2	adenosine deaminase domain containing 2
LL0000000260	adal	adenosine deaminase-like
LL0000000261	adam10a	ADAM metallopeptidase domain 10a
LL0000000262	adam10b	ADAM metallopeptidase domain 10b
LL0000000263	adam11	ADAM metallopeptidase domain 11
LL0000000264	adam12	ADAM metallopeptidase domain 12
LL0000000265	ADAM12 (1 of many)	ADAM metallopeptidase domain 12 [Source:NCBI gene;Acc:101884222]
LL0000000266	adam15	ADAM metallopeptidase domain 15
LL0000000267	adam17a	ADAM metallopeptidase domain 17a
LL0000000268	adam17b	ADAM metallopeptidase domain 17b
LL0000000269	adam19a	ADAM metallopeptidase domain 19a
LL0000000270	adam19b	ADAM metallopeptidase domain 19b
LL0000000271	adam22	ADAM metallopeptidase domain 22
LL0000000272	adam23a	ADAM metallopeptidase domain 23a
LL0000000273	adam28	ADAM metallopeptidase domain 28
LL0000000274	adam8a	ADAM metallopeptidase domain 8a
LL0000000275	adam8b	ADAM metallopeptidase domain 8b
LL0000000276	adam9	ADAM metallopeptidase domain 9
LL0000000277	adamts1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
LL0000000278	adamts10	ADAM metallopeptidase with thrombospondin type 1 motif, 10
LL0000000279	adamts12	ADAM metallopeptidase with thrombospondin type 1 motif, 12
LL0000000280	adamts13	ADAM metallopeptidase with thrombospondin type 1 motif, 13
LL0000000281	adamts14	ADAM metallopeptidase with thrombospondin type 1 motif, 14
LL0000000282	adamts15a	ADAM metallopeptidase with thrombospondin type 1 motif, 15a
LL0000000283	adamts15b	ADAM metallopeptidase with thrombospondin type 1 motif, 15b
LL0000000284	adamts16	ADAM metallopeptidase with thrombospondin type 1 motif, 16
LL0000000285	adamts17	ADAM metallopeptidase with thrombospondin type 1 motif, 17
LL0000000286	adamts18	ADAM metallopeptidase with thrombospondin type 1 motif, 18
LL0000000287	adamts2	ADAM metallopeptidase with thrombospondin type 1 motif, 2
LL0000000288	adamts3	ADAM metallopeptidase with thrombospondin type 1 motif, 3
LL0000000289	adamts5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)
LL0000000290	adamts6	ADAM metallopeptidase with thrombospondin type 1 motif, 6
LL0000000291	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:NCBI gene;Acc:560364]
LL0000000292	adamts8a	ADAM metallopeptidase with thrombospondin type 1 motif, 8a
LL0000000293	adamts9	ADAM metallopeptidase with thrombospondin type 1 motif, 9
LL0000000294	adamtsl2	ADAMTS-like 2
LL0000000295	adamtsl3	ADAMTS-like 3
LL0000000296	adamtsl5	ADAMTS like 5
LL0000000297	adamtsl7	ADAMTS-like 7
LL0000000298	adap2	ArfGAP with dual PH domains 2
LL0000000299	adar	adenosine deaminase RNA specific
LL0000000300	adarb1a	adenosine deaminase RNA specific B1a
LL0000000301	adarb1b	adenosine deaminase RNA specific B1b
LL0000000302	adarb2	adenosine deaminase RNA specific B2 (inactive)
LL0000000303	adat1	adenosine deaminase tRNA specific 1
LL0000000304	adat2	adenosine deaminase tRNA specific 2
LL0000000305	adat3	adenosine deaminase tRNA specific 3
LL0000000306	adck1	aarF domain containing kinase 1
LL0000000307	adck2	aarF domain containing kinase 2
LL0000000308	adck5	aarF domain containing kinase 5
LL0000000309	adcy1a	adenylate cyclase 1a
LL0000000310	adcy1b	adenylate cyclase 1b
LL0000000311	adcy2a	adenylate cyclase 2a
LL0000000312	adcy2b	adenylate cyclase 2b (brain)
LL0000000313	adcy3a	adenylate cyclase 3a
LL0000000314	adcy3b	adenylate cyclase 3b
LL0000000315	adcy5	adenylate cyclase 5
LL0000000316	adcy6a	adenylate cyclase 6a
LL0000000317	adcy6b	adenylate cyclase 6b
LL0000000318	adcy7	adenylate cyclase 7
LL0000000319	adcy8	adenylate cyclase 8 (brain)
LL0000000320	adcy9	adenylate cyclase 9
LL0000000321	adcyap1a	adenylate cyclase activating polypeptide 1a
LL0000000322	adcyap1b	adenylate cyclase activating polypeptide 1b
LL0000000324	add1	adducin 1 (alpha)
LL0000000325	add2	adducin 2 (beta)
LL0000000326	add3a	adducin 3 (gamma) a
LL0000000327	add3b	adducin 3 (gamma) b
LL0000000328	adgb	androglobin
LL0000000329	adgra1a	adhesion G protein-coupled receptor A1a
LL0000000330	adgra2	adhesion G protein-coupled receptor A2
LL0000000331	adgra3	adhesion G protein-coupled receptor A3
LL0000000332	adgrb1a	adhesion G protein-coupled receptor B1a
LL0000000333	adgrb1b	adhesion G protein-coupled receptor B1b
LL0000000334	adgrb2	adhesion G protein-coupled receptor B2
LL0000000335	adgrb3	adhesion G protein-coupled receptor B3
LL0000000336	adgrd1	adhesion G protein-coupled receptor D1
LL0000000337	adgrd2	adhesion G protein-coupled receptor D2
LL0000000338	adgre10	adhesion G protein-coupled receptor E10
LL0000000339	adgre13	adhesion G protein-coupled receptor E13
LL0000000340	adgre14	adhesion G protein-coupled receptor E14
LL0000000341	adgre15	adhesion G protein-coupled receptor E15
LL0000000342	adgre16	adhesion G protein-coupled receptor E16
LL0000000343	adgre17	adhesion G protein-coupled receptor E17
LL0000000344	adgre19	adhesion G protein-coupled receptor E19
LL0000000345	adgre5a	adhesion G protein-coupled receptor E5a
LL0000000346	adgre5b.2	adhesion G protein-coupled receptor E5b, duplicate 2
LL0000000347	adgre5b.3	adhesion G protein-coupled receptor E5b, duplicate 3
LL0000000348	adgre7	adhesion G protein-coupled receptor E7
LL0000000349	adgre8	adhesion G protein-coupled receptor E8
LL0000000350	adgre9	adhesion G protein-coupled receptor E9
LL0000000351	adgrf11	adhesion G protein-coupled receptor F11
LL0000000352	adgrf3a	adhesion G protein-coupled receptor F3a
LL0000000353	adgrf3b	adhesion G protein-coupled receptor F3b
LL0000000354	adgrf6	adhesion G protein-coupled receptor F6
LL0000000355	adgrf7	adhesion G protein-coupled receptor F7
LL0000000356	adgrf8	adhesion G protein-coupled receptor F8
LL0000000357	adgrg1	adhesion G protein-coupled receptor G1
LL0000000358	adgrg11	adhesion G protein-coupled receptor G11
LL0000000359	adgrg2a	adhesion G protein-coupled receptor G2a
LL0000000360	adgrg3	adhesion G protein-coupled receptor G3
LL0000000361	adgrg4a	adhesion G protein-coupled receptor G4a
LL0000000362	adgrg4b	adhesion G protein-coupled receptor G4b
LL0000000363	adgrg6	adhesion G protein-coupled receptor G6
LL0000000364	adgrg7.1	adhesion G protein-coupled receptor G7, tandem duplicate 1
LL0000000365	adgrg7.2	adhesion G protein-coupled receptor G7, tandem duplicate 2
LL0000000366	adgrl1.1	adhesion G protein-coupled receptor L1.1
LL0000000367	adgrl1a	adhesion G protein-coupled receptor L1a
LL0000000368	adgrl2a	adhesion G protein-coupled receptor L2a
LL0000000369	adgrl2b.1	adhesion G protein-coupled receptor L2b, tandem duplicate 1
LL0000000370	ADGRL3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]
LL0000000371	adgrl3.1	adhesion G protein-coupled receptor L3.1
LL0000000372	adgrl4	adhesion G protein-coupled receptor L4
LL0000000373	adgrv1	adhesion G protein-coupled receptor V1
LL0000000374	adh5	alcohol dehydrogenase 5
LL0000000375	adh8a	alcohol dehydrogenase 8a
LL0000000376	adh8b	alcohol dehydrogenase 8b
LL0000000377	adhfe1	alcohol dehydrogenase iron containing 1
LL0000000378	adi1	acireductone dioxygenase 1
LL0000000379	adipoqa	adiponectin, C1Q and collagen domain containing, a
LL0000000380	adipoqb	adiponectin, C1Q and collagen domain containing, b
LL0000000381	adipor1a	adiponectin receptor 1a
LL0000000382	adipor1b	adiponectin receptor 1b
LL0000000383	adipor2	adiponectin receptor 2
LL0000000384	adka	adenosine kinase a
LL0000000385	adkb	adenosine kinase b
LL0000000386	adm2a	adrenomedullin 2a
LL0000000387	adm2b	adrenomedullin 2b
LL0000000388	adma	adrenomedullin a
LL0000000389	admb	adrenomedullin b
LL0000000390	admp	anti-dorsalizing morphogenic protein
LL0000000391	adnp2a	ADNP homeobox 2a
LL0000000392	adnp2b	ADNP homeobox 2b
LL0000000393	adnpa	activity-dependent neuroprotector homeobox a
LL0000000394	adnpb	activity-dependent neuroprotector homeobox b
LL0000000395	adoa	2-aminoethanethiol (cysteamine) dioxygenase a
LL0000000396	adob	2-aminoethanethiol (cysteamine) dioxygenase b
LL0000000397	adora1a	adenosine A1 receptor a
LL0000000398	adora1b	adenosine A1 receptor b
LL0000000399	adora2aa	adenosine A2a receptor a
LL0000000400	adora2ab	adenosine A2a receptor b
LL0000000401	adora2b	adenosine A2b receptor
LL0000000402	adpgk	ADP-dependent glucokinase
LL0000000403	adpgk2	ADP-dependent glucokinase 2
LL0000000404	adprh	ADP-ribosylarginine hydrolase
LL0000000405	adprhl1	ADP-ribosylhydrolase like 1
LL0000000406	adprhl2	ADP-ribosylhydrolase like 2 [Source:ZFIN;Acc:ZDB-GENE-040912-85]
LL0000000407	adprm	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent
LL0000000408	adra1aa	adrenoceptor alpha 1Aa
LL0000000409	adra1ab	adrenoceptor alpha 1Ab
LL0000000410	adra1ba	adrenoceptor alpha 1Ba
LL0000000411	adra1bb	adrenoceptor alpha 1Bb
LL0000000412	adra1d	adrenoceptor alpha 1D
LL0000000413	adra2a	adrenoceptor alpha 2A
LL0000000414	adra2b	adrenoceptor alpha 2B
LL0000000415	adra2c	adrenoceptor alpha 2C
LL0000000416	adra2da	adrenergic, alpha-2D-, receptor a
LL0000000417	adra2db	adrenergic, alpha-2D-, receptor b
LL0000000418	adrb1	adrenoceptor beta 1
LL0000000419	adrb2a	adrenoceptor beta 2, surface a
LL0000000420	adrb2b	adrenoceptor beta 2, surface b
LL0000000421	adrb3a	adrenoceptor beta 3a
LL0000000422	adrb3b	adrenoceptor beta 3b
LL0000000423	adrm1	adhesion regulating molecule 1
LL0000000424	adsl	adenylosuccinate lyase
LL0000000425	adss	adenylosuccinate synthase [Source:ZFIN;Acc:ZDB-GENE-050417-337]
LL0000000426	adssl	adenylosuccinate synthase, like
LL0000000427	adssl1	adenylosuccinate synthase like 1 [Source:ZFIN;Acc:ZDB-GENE-040516-18]
LL0000000428	adtrp1	androgen dependent TFPI regulating protein 1
LL0000000429	aebp1	AE binding protein 1
LL0000000430	aebp2	AE binding protein 2
LL0000000431	aep1	aerolysin-like protein
LL0000000432	aes	amino-terminal enhancer of split [Source:ZFIN;Acc:ZDB-GENE-040426-1409]
LL0000000433	afap1	actin filament associated protein 1
LL0000000434	afap1l1a	actin filament associated protein 1-like 1a
LL0000000435	afap1l1b	actin filament associated protein 1-like 1b
LL0000000436	afap1l2	actin filament associated protein 1-like 2
LL0000000437	afdna	afadin, adherens junction formation factor a
LL0000000438	aff1	AF4/FMR2 family, member 1
LL0000000439	aff2	AF4/FMR2 family, member 2
LL0000000440	aff3	AF4/FMR2 family, member 3
LL0000000441	aff4	AF4/FMR2 family, member 4
LL0000000442	afg1la	AFG1 like ATPase a
LL0000000443	afg1lb	AFG1 like ATPase b
LL0000000444	afg3l2	AFG3-like AAA ATPase 2
LL0000000445	afmid	arylformamidase
LL0000000446	afp4	antifreeze protein type IV
LL0000000447	aftpha	aftiphilin a
LL0000000448	aftphb	aftiphilin b
LL0000000449	aga	aspartylglucosaminidase
LL0000000450	agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
LL0000000451	agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
LL0000000452	agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
LL0000000453	AGBL1	si:ch73-141f14.1 [Source:ZFIN;Acc:ZDB-GENE-131127-336]
LL0000000454	agbl2	ATP/GTP binding protein-like 2
LL0000000455	agbl4	ATP/GTP binding protein-like 4
LL0000000456	agbl5	ATP/GTP binding protein-like 5
LL0000000457	agfg1a	ArfGAP with FG repeats 1a
LL0000000458	agfg1b	ArfGAP with FG repeats 1b
